,mean_MSE,mean_ESS,Run_Time,Lost_tracks
PFPF-EDH,0.23689134,2.7703781127929688,3.4262635000004593,0.0
PFPF-LEDH,0.19225292,3.6603941917419434,10.15648770000007,0.0
PF-EDH,0.22224471,,1.391172199999346,0.0
PF-LEDH,0.22224474,,1.5951327000002493,0.0
KF,0.15853319,,0.3799468999995952,0.0
UKF,0.1585332,,4.542898700000478,0.0
BPF,1.4132279,1.3832297325134277,2.2171639000007417,0.0
UPF,0.55240035,1.4346439838409424,2.8366843000003428,0.0
ESRF,0.25344175,,0.12503339999966556,0.0
GSMC,0.8099532,1.3659883737564087,0.2257714000006672,0.0
