,mean_MSE,mean_ESS,Run_Time,Lost_tracks
PFPF-EDH,0.23918608,2.691948652267456,9.056801499998983,0.0
PFPF-LEDH,0.19060238,2.8996965885162354,1.9614877999993041,0.0
PF-EDH,0.24462955,,1.7825007999999798,0.0
PF-LEDH,0.24462955,,2.4635988999998517,0.0
KF,0.1645882,,0.36616139999932784,0.0
UKF,0.1645882,,1.093422500000088,0.0
BPF,0.32465315,1.3728044033050537,1.9489880000000994,0.0
UPF,0.28745532,1.153816819190979,0.5179310999992595,0.0
ESRF,0.27405757,,0.0837707999999111,0.0
GSMC,0.42402261,1.4700343608856201,0.2669515000015963,0.0
