,mean_MSE,mean_ESS,Run_Time,Lost_tracks
PFPF-EDH,0.6627278,7.148728847503662,1.1006156999992527,0.0
PFPF-LEDH,0.55439174,8.525398254394531,1.3006514000007883,0.0
PF-EDH,0.5545386,,0.9968867999996291,0.0
PF-LEDH,0.5462898,,1.2566678000002867,0.0
EKF,0.5414541,,0.003473400000075344,0.0
UKF,0.49724594,,1.9657392000008258,0.0
ESRF,0.6499122,,0.12011280000115221,0.0
UPF,1.1774262,3.9605178833007812,0.602451700000529,0.0
GSMC,0.6973382,5.27057409286499,0.33360710000124527,0.0
SMHMC,1.6631348,4.392463207244873,0.7640885999990132,0.0
